Profile ID,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description,Processed
rDfj9SDJph,TRUE,Open Data Nation introduces the benefits of open data and trains employees who use data to share -  which results in a culture of transparency and an ecosystem for new collaborations.,TRUE,Open Data Nation publicizes local stories of open data being put to good use -  which generates awareness -  demonstrates the value of data that is already published -  and improves decision making.,TRUE,Open Data Nation connects those looking to fill contract or full-time positions with local civic technologists and residents to create novel open data insights and solutions -  such as web apps and data visualizations.,TRUE,Open Data Nation measures the value of open data in your community by monitoring -  evaluating -  and reporting about how it is being put to good use -  which solidifies local commitments to open data.,FALSE,,0
rHkWNBFHwH,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
rOtCdKSXld,FALSE,,TRUE,"uses open data to map the locations of DOC huts, camp sites and visitor centres, as well as i-SITEs and BBH hostels across New Zealand",FALSE,,FALSE,,FALSE,,0
rqBdC3fv8k,FALSE,,TRUE,Services medications; Uses open data on medicines (pharmacies -  prices -  instructions),FALSE,,FALSE,,FALSE,,0
RXZE9l9DWr,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
sbRlFKhAVu,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
sIBoEm5cgU,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
sKxtkxoAcb,FALSE,,TRUE,Certain products like the Crime Map and Canal and River Trust use geospatial and open government data to build their mobile applications,FALSE,,FALSE,,FALSE,,0
Svam1dfEpj,FALSE,,TRUE,"creates a platform which transfer law to be turned into scientific data, allowing statistical analyses and comparisons across space and time",FALSE,,FALSE,,FALSE,,0
T1TOfOfaSF,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
t5QtT3mdVT,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
Ta2juPP2zf,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
tbWKOi2AAY,TRUE,Uses open datas to evaluate and supervise government operations to offer advice for public policy improvement.,FALSE,,FALSE,,FALSE,,FALSE,,0
tfU6VdRfaD,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
tKfUAFYzn2,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
tn0U3dsQgE,FALSE,,TRUE,"uses open data from organizations to provide industry-aligned solutions and products are designed to give a complete end-to-end offering â€“ examples include Visual Water, Visual City and Visual Plant.",FALSE,,FALSE,,FALSE,,0
TrfMtR8xBs,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
tsJUfFZjY5,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,0
tWm9SgqiBi,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
TyPiAItSPA,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
u8I9HV036Z,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
uBpQHxRjtc,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
Ude9wU5BZG,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
uKV048tUu5,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
uLaZh3hrah,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
uOJgZ7vgVv,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,0
uSm0aNHml4,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,0
uxGejPIDFY,FALSE,,TRUE,"uses open data to offer tailor-made productsand services for cilents in various industries by offering standard historical sources such as fire insurance maps, aerial photos, and city directories",FALSE,,FALSE,,FALSE,,0
v2gygypvOE,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
V3dDMeWO09,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
VD4kfyqgY6,FALSE,,TRUE,"uses open data to create a platform OpenGovGear Portals, and offer customized services such as adding features, designing custom schemas and integrating new system with existing systems",FALSE,,FALSE,,FALSE,,0
VFcYjhz5zs,FALSE,,TRUE,uses open data in NuCivic Data -  DKAN products,TRUE,,FALSE,,FALSE,,0
VHwRlntRmg,TRUE,Uses open data in various civic projects.,FALSE,,FALSE,,FALSE,,FALSE,,0
VJAjwwUEfs,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,0
VPRo2lz86K,TRUE,Organizers of the Open Data Forum,FALSE,,FALSE,,TRUE,,FALSE,,0
